"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-21 10:35:03.8",1730400,0.011,-0.042,0.093,297.6,28.76,23.35
"2020-09-21 10:35:03.9",1730401,-0.008,-0.002,0.073,297.7,28.76,23.35
"2020-09-21 10:35:04",1730402,-0.009,-0.002,0.073,297.7,28.76,23.35
"2020-09-21 10:35:04.1",1730403,0.012,-0.041,0.093,297.6,28.76,23.37
"2020-09-21 10:35:04.2",1730404,0.012,-0.041,0.093,297.6,28.76,23.34
"2020-09-21 10:35:04.3",1730405,0.012,-0.041,0.093,297.6,28.76,23.34
"2020-09-21 10:35:04.4",1730406,0.012,-0.042,0.093,297.6,28.76,23.34
"2020-09-21 10:35:04.5",1730407,0.012,-0.041,0.093,297.6,28.76,23.35
"2020-09-21 10:35:04.6",1730408,0.012,-0.041,0.093,297.6,28.76,23.34
"2020-09-21 10:35:04.7",1730409,0.012,-0.042,0.093,297.6,28.76,23.35
"2020-09-21 10:35:04.8",1730410,0.012,-0.042,0.093,297.6,28.76,23.34
"2020-09-21 10:35:04.9",1730411,-0.028,-0.003,0.093,297.7,28.76,23.35
"2020-09-21 10:35:05",1730412,-0.028,-0.002,0.093,297.7,28.76,23.35
"2020-09-21 10:35:05.1",1730413,-0.008,-0.002,0.074,297.7,28.76,23.34
"2020-09-21 10:35:05.2",1730414,-0.008,-0.002,0.073,297.7,28.76,23.34
"2020-09-21 10:35:05.3",1730415,-0.009,-0.002,0.073,297.7,28.82,23.36
"2020-09-21 10:35:05.4",1730416,-0.008,-0.002,0.073,297.8,28.76,23.34
"2020-09-21 10:35:05.5",1730417,-0.009,-0.002,0.073,297.8,28.76,23.34
"2020-09-21 10:35:05.6",1730418,0.012,-0.041,0.093,297.8,28.76,23.34
"2020-09-21 10:35:05.7",1730419,0.012,-0.041,0.093,297.8,28.76,23.35
"2020-09-21 10:35:05.8",1730420,0.011,-0.042,0.093,297.8,28.76,23.35
"2020-09-21 10:35:05.9",1730421,-0.008,0.008,0.117,297.8,28.76,23.35
"2020-09-21 10:35:06",1730422,-0.008,0.008,0.117,297.8,28.76,23.35
"2020-09-21 10:35:06.1",1730423,-0.009,-0.002,0.073,297.7,28.76,23.35
"2020-09-21 10:35:06.2",1730424,-0.009,-0.002,0.073,297.7,28.76,23.35
"2020-09-21 10:35:06.3",1730425,-0.009,-0.002,0.073,297.7,28.76,23.35
"2020-09-21 10:35:06.4",1730426,0.002,-0.002,0.083,297.6,28.76,23.35
"2020-09-21 10:35:06.5",1730427,0.002,-0.002,0.083,297.6,28.76,23.35
"2020-09-21 10:35:06.6",1730428,0.031,-0.012,0.044,297.5,28.76,23.38
"2020-09-21 10:35:06.7",1730429,0.031,-0.012,0.044,297.5,28.76,23.34
"2020-09-21 10:35:06.8",1730430,0.031,-0.012,0.044,297.5,28.76,23.35
"2020-09-21 10:35:06.9",1730431,0.002,-0.002,0.083,297.5,28.76,23.34
"2020-09-21 10:35:07",1730432,0.002,-0.002,0.083,297.5,28.76,23.34
"2020-09-21 10:35:07.1",1730433,0.002,-0.002,0.083,297.5,28.76,23.34
"2020-09-21 10:35:07.2",1730434,0.002,-0.002,0.083,297.5,28.76,23.34
"2020-09-21 10:35:07.3",1730435,0.002,-0.002,0.083,297.5,28.76,23.34
"2020-09-21 10:35:07.4",1730436,-0.009,-0.002,0.073,297.5,28.76,23.34
"2020-09-21 10:35:07.5",1730437,-0.009,-0.002,0.073,297.5,28.76,23.34
"2020-09-21 10:35:07.6",1730438,-0.009,0.037,0.064,297.4,28.76,23.34
"2020-09-21 10:35:07.7",1730439,-0.009,0.037,0.064,297.4,28.76,23.35
"2020-09-21 10:35:07.8",1730440,-0.009,0.038,0.063,297.4,28.82,23.35
"2020-09-21 10:35:07.9",1730441,0.011,0.008,0.024,297.4,28.76,23.34
"2020-09-21 10:35:08",1730442,0.012,0.008,0.025,297.4,28.76,23.34
"2020-09-21 10:35:08.1",1730443,-0.008,0.008,0.044,297.4,28.76,23.34
"2020-09-21 10:35:08.2",1730444,-0.009,0.008,0.044,297.4,28.76,23.35
"2020-09-21 10:35:08.3",1730445,-0.009,0.008,0.044,297.4,28.76,23.35
"2020-09-21 10:35:08.4",1730446,0.012,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:08.5",1730447,0.012,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:08.6",1730448,0.012,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:08.7",1730449,0.012,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:08.8",1730450,0.011,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:08.9",1730451,0.011,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:09",1730452,0.011,0.008,0.025,297.3,28.76,23.34
"2020-09-21 10:35:09.1",1730453,0.012,0.008,0.024,297.3,28.79,23.38
"2020-09-21 10:35:09.2",1730454,0.012,0.008,0.024,297.3,28.76,23.34
"2020-09-21 10:35:09.3",1730455,0.011,0.008,0.024,297.3,28.76,23.34
"2020-09-21 10:35:09.4",1730456,0.011,0.008,0.024,297.3,28.76,23.34
"2020-09-21 10:35:09.5",1730457,0.012,0.008,0.024,297.3,28.76,23.34
"2020-09-21 10:35:09.6",1730458,0.011,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:09.7",1730459,0.011,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:09.8",1730460,0.011,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:09.9",1730461,0.012,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:10",1730462,0.012,0.008,0.024,297.3,28.76,23.35
"2020-09-21 10:35:10.1",1730463,0.011,0.008,0.025,297.3,28.76,23.35
"2020-09-21 10:35:10.2",1730464,0.011,0.008,0.024,297.3,28.76,23.34
"2020-09-21 10:35:10.3",1730465,0.011,0.008,0.024,297.3,28.8,23.35
"2020-09-21 10:35:10.4",1730466,-0.009,0.008,0.044,297.3,28.76,23.34
"2020-09-21 10:35:10.5",1730467,-0.008,0.008,0.044,297.3,28.76,23.34
"2020-09-21 10:35:10.6",1730468,-0.009,-0.002,-0.006,297.2,28.76,23.34
"2020-09-21 10:35:10.7",1730469,-0.009,-0.002,-0.006,297.2,28.76,23.34
"2020-09-21 10:35:10.8",1730470,-0.009,-0.002,-0.006,297.2,28.76,23.35
"2020-09-21 10:35:10.9",1730471,-0.028,-0.003,0.024,297.3,28.76,23.34
"2020-09-21 10:35:11",1730472,-0.028,-0.002,0.024,297.3,28.76,23.34
"2020-09-21 10:35:11.1",1730473,-0.028,-0.002,0.024,297.3,28.76,23.34
"2020-09-21 10:35:11.2",1730474,-0.028,-0.002,0.025,297.3,28.76,23.34
"2020-09-21 10:35:11.3",1730475,-0.028,-0.002,0.024,297.3,28.76,23.34
"2020-09-21 10:35:11.4",1730476,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:11.5",1730477,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:11.6",1730478,-0.018,-0.041,0.044,297.4,28.79,23.4
"2020-09-21 10:35:11.7",1730479,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:11.8",1730480,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:11.9",1730481,-0.009,-0.012,0.064,297.5,28.76,23.34
"2020-09-21 10:35:12",1730482,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:12.1",1730483,-0.048,-0.051,0.073,297.5,28.76,23.35
"2020-09-21 10:35:12.2",1730484,-0.048,-0.051,0.073,297.5,28.76,23.35
"2020-09-21 10:35:12.3",1730485,-0.048,-0.051,0.073,297.5,28.76,23.34
"2020-09-21 10:35:12.4",1730486,-0.008,-0.002,0.073,297.5,28.76,23.35
"2020-09-21 10:35:12.5",1730487,-0.008,-0.002,0.073,297.5,28.76,23.35
"2020-09-21 10:35:12.6",1730488,-0.008,-0.002,0.073,297.6,28.76,23.34
"2020-09-21 10:35:12.7",1730489,-0.009,-0.002,0.073,297.5,28.76,23.35
"2020-09-21 10:35:12.8",1730490,-0.009,-0.002,0.073,297.5,28.77,23.35
"2020-09-21 10:35:12.9",1730491,-0.009,-0.002,0.073,297.6,28.76,23.34
"2020-09-21 10:35:13",1730492,-0.009,-0.002,0.073,297.6,28.76,23.34
"2020-09-21 10:35:13.1",1730493,-0.048,-0.051,0.073,297.5,28.76,23.34
"2020-09-21 10:35:13.2",1730494,-0.048,-0.051,0.074,297.5,28.76,23.34
"2020-09-21 10:35:13.3",1730495,-0.048,-0.051,0.073,297.5,28.76,23.34
"2020-09-21 10:35:13.4",1730496,-0.028,-0.002,0.093,297.6,28.76,23.35
"2020-09-21 10:35:13.5",1730497,-0.028,-0.002,0.093,297.6,28.76,23.34
"2020-09-21 10:35:13.6",1730498,-0.018,-0.041,0.118,297.6,28.76,23.35
"2020-09-21 10:35:13.7",1730499,-0.018,-0.041,0.117,297.6,28.76,23.35
"2020-09-21 10:35:13.8",1730500,-0.019,-0.042,0.117,297.6,28.76,23.35
"2020-09-21 10:35:13.9",1730501,-0.018,-0.041,0.117,297.6,28.76,23.35
"2020-09-21 10:35:14",1730502,-0.018,-0.041,0.117,297.6,28.76,23.35
"2020-09-21 10:35:14.1",1730503,-0.028,-0.081,0.093,297.5,28.8,23.4
"2020-09-21 10:35:14.2",1730504,-0.028,-0.081,0.093,297.5,28.76,23.35
"2020-09-21 10:35:14.3",1730505,-0.028,-0.081,0.093,297.5,28.76,23.35
"2020-09-21 10:35:14.4",1730506,-0.028,-0.08,0.093,297.5,28.76,23.35
"2020-09-21 10:35:14.5",1730507,-0.028,-0.081,0.093,297.5,28.76,23.35
"2020-09-21 10:35:14.6",1730508,-0.038,-0.08,0.083,297.4,28.76,23.35
"2020-09-21 10:35:14.7",1730509,-0.038,-0.08,0.083,297.4,28.76,23.35
"2020-09-21 10:35:14.8",1730510,-0.038,-0.081,0.083,297.4,28.76,23.35
"2020-09-21 10:35:14.9",1730511,-0.028,-0.061,0.015,297.5,28.76,23.35
"2020-09-21 10:35:15",1730512,-0.028,-0.061,0.015,297.5,28.76,23.35
"2020-09-21 10:35:15.1",1730513,-0.048,-0.124,0.073,297.5,28.76,23.35
"2020-09-21 10:35:15.2",1730514,-0.048,-0.125,0.073,297.5,28.76,23.34
"2020-09-21 10:35:15.3",1730515,-0.048,-0.125,0.073,297.5,28.76,23.34
"2020-09-21 10:35:15.4",1730516,-0.009,-0.051,0.117,297.5,28.76,23.34
"2020-09-21 10:35:15.5",1730517,-0.009,-0.051,0.117,297.5,28.76,23.34
"2020-09-21 10:35:15.6",1730518,-0.008,-0.051,0.117,297.5,28.76,23.34
"2020-09-21 10:35:15.7",1730519,-0.009,-0.051,0.117,297.5,28.76,23.35
"2020-09-21 10:35:15.8",1730520,-0.009,-0.051,0.117,297.5,28.76,23.35
"2020-09-21 10:35:15.9",1730521,0.002,-0.051,0.083,297.5,28.76,23.35
"2020-09-21 10:35:16",1730522,0.002,-0.051,0.083,297.5,28.76,23.35
"2020-09-21 10:35:16.1",1730523,-0.008,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:16.2",1730524,-0.009,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:16.3",1730525,-0.009,-0.012,0.063,297.5,28.76,23.34
"2020-09-21 10:35:16.4",1730526,-0.008,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:16.5",1730527,-0.009,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:16.6",1730528,0.002,-0.002,0.083,297.5,28.82,23.4
"2020-09-21 10:35:16.7",1730529,0.002,-0.002,0.083,297.5,28.76,23.35
"2020-09-21 10:35:16.8",1730530,0.002,-0.003,0.083,297.5,28.76,23.34
"2020-09-21 10:35:16.9",1730531,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:17",1730532,-0.009,-0.012,0.064,297.5,28.76,23.34
"2020-09-21 10:35:17.1",1730533,-0.009,-0.012,0.064,297.5,28.76,23.34
"2020-09-21 10:35:17.2",1730534,-0.008,-0.012,0.063,297.5,28.76,23.34
"2020-09-21 10:35:17.3",1730535,-0.009,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:17.4",1730536,-0.009,-0.012,0.064,297.5,28.76,23.34
"2020-09-21 10:35:17.5",1730537,-0.008,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:17.6",1730538,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:17.7",1730539,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:17.8",1730540,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:17.9",1730541,-0.008,-0.002,0.044,297.5,28.76,23.37
"2020-09-21 10:35:18",1730542,-0.009,-0.002,0.044,297.5,28.76,23.35
"2020-09-21 10:35:18.1",1730543,-0.028,-0.003,0.025,297.5,28.76,23.35
"2020-09-21 10:35:18.2",1730544,-0.028,-0.002,0.025,297.5,28.76,23.35
"2020-09-21 10:35:18.3",1730545,-0.028,-0.003,0.024,297.5,28.76,23.35
"2020-09-21 10:35:18.4",1730546,-0.028,-0.002,0.024,297.5,28.76,23.35
"2020-09-21 10:35:18.5",1730547,-0.028,-0.002,0.025,297.5,28.76,23.35
"2020-09-21 10:35:18.6",1730548,-0.028,-0.002,0.024,297.5,28.76,23.35
"2020-09-21 10:35:18.7",1730549,-0.028,-0.002,0.024,297.4,28.76,23.35
"2020-09-21 10:35:18.8",1730550,-0.028,-0.002,0.024,297.5,28.76,23.35
"2020-09-21 10:35:18.9",1730551,-0.009,-0.002,-0.006,297.4,28.76,23.35
"2020-09-21 10:35:19",1730552,-0.008,-0.002,-0.006,297.4,28.76,23.35
"2020-09-21 10:35:19.1",1730553,-0.018,-0.041,0.044,297.4,28.82,23.38
"2020-09-21 10:35:19.2",1730554,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.3",1730555,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.4",1730556,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.5",1730557,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.6",1730558,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.7",1730559,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.8",1730560,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:19.9",1730561,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:20",1730562,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:20.1",1730563,-0.018,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:20.2",1730564,-0.018,-0.042,0.044,297.4,28.76,23.35
"2020-09-21 10:35:20.3",1730565,-0.019,-0.041,0.044,297.4,28.76,23.34
"2020-09-21 10:35:20.4",1730566,-0.067,-0.002,0.044,297.3,28.76,23.37
"2020-09-21 10:35:20.5",1730567,-0.067,-0.002,0.044,297.3,28.76,23.34
"2020-09-21 10:35:20.6",1730568,-0.077,-0.071,0.024,297.3,28.76,23.34
"2020-09-21 10:35:20.7",1730569,-0.077,-0.071,0.024,297.3,28.76,23.35
"2020-09-21 10:35:20.8",1730570,-0.077,-0.071,0.024,297.3,28.76,23.34
"2020-09-21 10:35:20.9",1730571,-0.077,-0.071,0.024,297.3,28.76,23.35
"2020-09-21 10:35:21",1730572,-0.077,-0.071,0.024,297.3,28.76,23.35
"2020-09-21 10:35:21.1",1730573,-0.028,-0.061,0.015,297.3,28.76,23.35
"2020-09-21 10:35:21.2",1730574,-0.028,-0.061,0.015,297.3,28.76,23.35
"2020-09-21 10:35:21.3",1730575,-0.028,-0.061,0.015,297.3,28.76,23.34
"2020-09-21 10:35:21.4",1730576,-0.077,-0.071,0.044,297.4,28.76,23.35
"2020-09-21 10:35:21.5",1730577,-0.077,-0.071,0.044,297.4,28.76,23.35
"2020-09-21 10:35:21.6",1730578,-0.028,-0.061,0.015,297.3,28.82,23.35
"2020-09-21 10:35:21.7",1730579,-0.028,-0.061,0.015,297.3,28.76,23.34
"2020-09-21 10:35:21.8",1730580,-0.028,-0.061,0.015,297.3,28.76,23.34
"2020-09-21 10:35:21.9",1730581,-0.028,-0.071,0.015,297.4,28.76,23.35
"2020-09-21 10:35:22",1730582,-0.028,-0.071,0.015,297.4,28.76,23.35
"2020-09-21 10:35:22.1",1730583,-0.028,-0.071,0.015,297.6,28.76,23.35
"2020-09-21 10:35:22.2",1730584,-0.028,-0.071,0.015,297.6,28.76,23.35
"2020-09-21 10:35:22.3",1730585,-0.028,-0.071,0.015,297.6,28.76,23.35
"2020-09-21 10:35:22.4",1730586,-0.057,-0.125,0.073,297.6,28.76,23.35
"2020-09-21 10:35:22.5",1730587,-0.057,-0.125,0.073,297.6,28.76,23.35
"2020-09-21 10:35:22.6",1730588,-0.028,-0.081,0.093,297.7,28.76,23.35
"2020-09-21 10:35:22.7",1730589,-0.028,-0.081,0.093,297.7,28.76,23.35
"2020-09-21 10:35:22.8",1730590,-0.028,-0.081,0.093,297.7,28.76,23.35
"2020-09-21 10:35:22.9",1730591,-0.028,-0.081,0.093,297.7,28.79,23.37
"2020-09-21 10:35:23",1730592,-0.028,-0.081,0.093,297.7,28.76,23.34
"2020-09-21 10:35:23.1",1730593,-0.028,-0.081,0.166,297.7,28.76,23.34
"2020-09-21 10:35:23.2",1730594,-0.028,-0.081,0.166,297.7,28.76,23.34
"2020-09-21 10:35:23.3",1730595,-0.029,-0.081,0.166,297.7,28.76,23.34
"2020-09-21 10:35:23.4",1730596,-0.028,-0.081,0.093,297.6,28.76,23.34
"2020-09-21 10:35:23.5",1730597,-0.028,-0.081,0.093,297.6,28.76,23.35
"2020-09-21 10:35:23.6",1730598,-0.018,-0.041,0.117,297.7,28.76,23.34
"2020-09-21 10:35:23.7",1730599,-0.018,-0.041,0.117,297.7,28.76,23.35
"2020-09-21 10:35:23.8",1730600,-0.018,-0.042,0.117,297.7,28.76,23.35
"2020-09-21 10:35:23.9",1730601,-0.018,-0.041,0.117,297.7,28.76,23.35
"2020-09-21 10:35:24",1730602,-0.018,-0.041,0.117,297.7,28.76,23.35
"2020-09-21 10:35:24.1",1730603,-0.018,-0.041,0.117,297.8,28.79,23.35
"2020-09-21 10:35:24.2",1730604,-0.018,-0.041,0.117,297.8,28.76,23.34
"2020-09-21 10:35:24.3",1730605,-0.019,-0.041,0.117,297.8,28.76,23.34
"2020-09-21 10:35:24.4",1730606,-0.028,-0.002,0.093,297.9,28.76,23.34
"2020-09-21 10:35:24.5",1730607,-0.028,-0.002,0.093,297.9,28.76,23.34
"2020-09-21 10:35:24.6",1730608,-0.028,-0.002,0.093,297.8,28.76,23.35
"2020-09-21 10:35:24.7",1730609,-0.028,-0.002,0.093,297.8,28.76,23.34
"2020-09-21 10:35:24.8",1730610,-0.028,-0.003,0.093,297.8,28.76,23.34
"2020-09-21 10:35:24.9",1730611,-0.028,-0.002,0.093,297.9,28.76,23.35
"2020-09-21 10:35:25",1730612,-0.028,-0.002,0.093,297.9,28.76,23.35
"2020-09-21 10:35:25.1",1730613,-0.008,-0.002,0.073,297.8,28.76,23.35
"2020-09-21 10:35:25.2",1730614,-0.009,-0.002,0.073,297.8,28.76,23.35
"2020-09-21 10:35:25.3",1730615,-0.009,-0.002,0.073,297.8,28.76,23.34
"2020-09-21 10:35:25.4",1730616,-0.028,-0.002,0.093,297.9,28.79,23.4
"2020-09-21 10:35:25.5",1730617,-0.028,-0.002,0.093,297.9,28.76,23.34
"2020-09-21 10:35:25.6",1730618,-0.009,-0.002,0.073,297.8,28.76,23.34
"2020-09-21 10:35:25.7",1730619,-0.009,-0.002,0.073,297.8,28.76,23.35
"2020-09-21 10:35:25.8",1730620,-0.009,-0.003,0.073,297.8,28.76,23.35
"2020-09-21 10:35:25.9",1730621,-0.028,0.047,0.093,297.7,28.76,23.35
"2020-09-21 10:35:26",1730622,-0.028,0.047,0.093,297.7,28.76,23.35
"2020-09-21 10:35:26.1",1730623,-0.057,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:26.2",1730624,-0.057,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:26.3",1730625,-0.057,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:26.4",1730626,-0.028,-0.002,0.093,297.6,28.76,23.35
"2020-09-21 10:35:26.5",1730627,-0.028,-0.002,0.093,297.6,28.76,23.35
"2020-09-21 10:35:26.6",1730628,-0.028,-0.002,0.024,297.5,28.77,23.35
"2020-09-21 10:35:26.7",1730629,-0.028,-0.002,0.024,297.5,28.76,23.34
"2020-09-21 10:35:26.8",1730630,-0.028,-0.002,0.024,297.5,28.76,23.35
"2020-09-21 10:35:26.9",1730631,-0.008,-0.002,0.044,297.5,28.76,23.35
"2020-09-21 10:35:27",1730632,-0.009,-0.002,0.044,297.5,28.76,23.35
"2020-09-21 10:35:27.1",1730633,-0.009,-0.012,0.064,297.5,28.76,23.35
"2020-09-21 10:35:27.2",1730634,-0.008,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:27.3",1730635,-0.009,-0.012,0.063,297.5,28.76,23.35
"2020-09-21 10:35:27.4",1730636,-0.009,0.008,0.044,297.6,28.76,23.35
"2020-09-21 10:35:27.5",1730637,-0.009,0.008,0.044,297.6,28.76,23.35
"2020-09-21 10:35:27.6",1730638,-0.009,-0.002,0.073,297.6,28.76,23.35
"2020-09-21 10:35:27.7",1730639,-0.009,-0.002,0.073,297.6,28.76,23.35
"2020-09-21 10:35:27.8",1730640,-0.009,-0.002,0.073,297.6,28.76,23.35
"2020-09-21 10:35:27.9",1730641,-0.028,-0.002,0.093,297.7,28.79,23.4
"2020-09-21 10:35:28",1730642,-0.028,-0.002,0.093,297.7,28.76,23.34
"2020-09-21 10:35:28.1",1730643,-0.028,-0.002,0.093,297.6,28.76,23.34
"2020-09-21 10:35:28.2",1730644,-0.028,-0.002,0.093,297.6,28.76,23.35
"2020-09-21 10:35:28.3",1730645,-0.028,-0.002,0.093,297.6,28.76,23.34
"2020-09-21 10:35:28.4",1730646,-0.077,-0.002,0.117,297.7,28.76,23.35
"2020-09-21 10:35:28.5",1730647,-0.077,-0.002,0.117,297.7,28.76,23.35
"2020-09-21 10:35:28.6",1730648,-0.077,-0.002,0.044,297.6,28.76,23.35
"2020-09-21 10:35:28.7",1730649,-0.077,-0.003,0.044,297.6,28.76,23.35
"2020-09-21 10:35:28.8",1730650,-0.077,-0.002,0.044,297.6,28.76,23.35
"2020-09-21 10:35:28.9",1730651,-0.131,-0.002,0.073,297.6,28.76,23.35
"2020-09-21 10:35:29",1730652,-0.131,-0.003,0.073,297.6,28.76,23.35
"2020-09-21 10:35:29.1",1730653,-0.087,0.008,0.015,297.6,28.76,23.35
"2020-09-21 10:35:29.2",1730654,-0.087,0.008,0.015,297.6,28.76,23.34
"2020-09-21 10:35:29.3",1730655,-0.087,0.008,0.015,297.6,28.76,23.34
"2020-09-21 10:35:29.4",1730656,-0.077,-0.003,0.044,297.6,28.76,23.34
"2020-09-21 10:35:29.5",1730657,-0.077,-0.002,0.044,297.6,28.76,23.34
"2020-09-21 10:35:29.6",1730658,-0.048,-0.041,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:29.7",1730659,-0.048,-0.041,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:29.8",1730660,-0.048,-0.042,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:29.9",1730661,-0.048,0.008,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:30",1730662,-0.048,0.008,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:30.1",1730663,-0.048,0.008,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:30.2",1730664,-0.048,0.009,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:30.3",1730665,-0.048,0.008,-0.006,297.6,28.76,23.35
"2020-09-21 10:35:30.4",1730666,-0.077,-0.002,0.044,297.6,28.82,23.4
"2020-09-21 10:35:30.5",1730667,-0.077,-0.002,0.044,297.6,28.76,23.35
"2020-09-21 10:35:30.6",1730668,-0.057,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:30.7",1730669,-0.057,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:30.8",1730670,-0.058,0.008,0.073,297.6,28.76,23.35
"2020-09-21 10:35:30.9",1730671,-0.048,-0.051,0.073,297.7,28.76,23.35
"2020-09-21 10:35:31",1730672,-0.048,-0.051,0.073,297.7,28.76,23.35
"2020-09-21 10:35:31.1",1730673,-0.028,-0.08,0.093,297.8,28.76,23.34
"2020-09-21 10:35:31.2",1730674,-0.028,-0.081,0.093,297.8,28.76,23.35
"2020-09-21 10:35:31.3",1730675,-0.028,-0.081,0.093,297.8,28.76,23.34
"2020-09-21 10:35:31.4",1730676,-0.048,-0.051,0.147,297.9,28.76,23.34
"2020-09-21 10:35:31.5",1730677,-0.048,-0.051,0.147,297.9,28.76,23.35
"2020-09-21 10:35:31.6",1730678,-0.018,-0.041,0.117,297.8,28.76,23.34
"2020-09-21 10:35:31.7",1730679,-0.018,-0.041,0.117,297.8,28.76,23.36
"2020-09-21 10:35:31.8",1730680,-0.018,-0.041,0.117,297.8,28.76,23.34
"2020-09-21 10:35:31.9",1730681,-0.028,-0.002,0.093,297.8,28.75,23.35
"2020-09-21 10:35:32",1730682,-0.028,-0.002,0.093,297.8,28.75,23.35
"2020-09-21 10:35:32.1",1730683,-0.028,-0.081,0.093,297.6,28.75,23.35
"2020-09-21 10:35:32.2",1730684,-0.028,-0.081,0.093,297.6,28.75,23.35
"2020-09-21 10:35:32.3",1730685,-0.028,-0.081,0.093,297.6,28.75,23.35
"2020-09-21 10:35:32.4",1730686,-0.057,-0.124,0.074,297.5,28.74,23.35
"2020-09-21 10:35:32.5",1730687,-0.057,-0.125,0.073,297.5,28.74,23.35
"2020-09-21 10:35:32.6",1730688,-0.048,-0.051,0.073,297.5,28.74,23.35
"2020-09-21 10:35:32.7",1730689,-0.048,-0.051,0.073,297.5,28.74,23.35
"2020-09-21 10:35:32.8",1730690,-0.048,-0.051,0.073,297.5,28.74,23.35
"2020-09-21 10:35:32.9",1730691,-0.048,-0.051,0.073,297.5,28.8,23.39
"2020-09-21 10:35:33",1730692,-0.048,-0.051,0.073,297.5,28.74,23.34
"2020-09-21 10:35:33.1",1730693,-0.077,-0.002,0.117,297.7,28.74,23.34
"2020-09-21 10:35:33.2",1730694,-0.077,-0.003,0.117,297.7,28.74,23.34
"2020-09-21 10:35:33.3",1730695,-0.077,-0.003,0.117,297.7,28.74,23.34
"2020-09-21 10:35:33.4",1730696,-0.019,-0.041,0.117,297.7,28.74,23.34
"2020-09-21 10:35:33.5",1730697,-0.018,-0.041,0.117,297.7,28.74,23.34
"2020-09-21 10:35:33.6",1730698,-0.077,-0.002,0.117,297.7,28.74,23.34
