"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-29 14:34:55.4",3267600,-0.047,-0.041,-0.006,298.5,40.07,23.26
"2020-09-29 14:34:55.5",3267601,-0.047,-0.041,-0.006,298.5,40.04,23.2
"2020-09-29 14:34:55.6",3267602,-0.086,-0.041,0.005,298.4,40.04,23.2
"2020-09-29 14:34:55.7",3267603,-0.086,-0.041,0.005,298.4,40.04,23.2
"2020-09-29 14:34:55.8",3267604,-0.086,-0.041,0.005,298.4,40.04,23.2
"2020-09-29 14:34:55.9",3267605,-0.057,-0.012,-0.006,298.3,40.04,23.21
"2020-09-29 14:34:56",3267606,-0.057,-0.012,-0.006,298.3,40.04,23.21
"2020-09-29 14:34:56.1",3267607,-0.067,-0.002,0.044,298.3,40.04,23.21
"2020-09-29 14:34:56.2",3267608,-0.067,-0.002,0.044,298.3,40.04,23.21
"2020-09-29 14:34:56.3",3267609,-0.067,-0.002,0.044,298.3,40.04,23.21
"2020-09-29 14:34:56.4",3267610,-0.067,-0.002,0.044,298.2,40.04,23.21
"2020-09-29 14:34:56.5",3267611,-0.067,-0.002,0.044,298.2,40.04,23.21
"2020-09-29 14:34:56.6",3267612,-0.067,-0.002,0.044,298.2,40.04,23.21
"2020-09-29 14:34:56.7",3267613,-0.067,-0.002,0.044,298.2,40.04,23.21
"2020-09-29 14:34:56.8",3267614,-0.067,-0.002,0.044,298.2,40.04,23.21
"2020-09-29 14:34:56.9",3267615,-0.047,0.008,-0.006,298.2,40.04,23.2
"2020-09-29 14:34:57",3267616,-0.047,0.008,-0.006,298.2,40.04,23.2
"2020-09-29 14:34:57.1",3267617,-0.067,-0.002,0.044,298.3,40.04,23.21
"2020-09-29 14:34:57.2",3267618,-0.067,-0.002,0.044,298.3,40.04,23.21
"2020-09-29 14:34:57.3",3267619,-0.067,-0.002,0.044,298.3,40.04,23.2
"2020-09-29 14:34:57.4",3267620,-0.067,-0.002,0.044,298.4,40.04,23.2
"2020-09-29 14:34:57.5",3267621,-0.067,-0.002,0.044,298.4,40.04,23.2
"2020-09-29 14:34:57.6",3267622,-0.057,0.008,0.073,298.6,40.04,23.2
"2020-09-29 14:34:57.7",3267623,-0.057,0.008,0.073,298.6,40.04,23.2
"2020-09-29 14:34:57.8",3267624,-0.057,0.008,0.073,298.6,40.04,23.2
"2020-09-29 14:34:57.9",3267625,-0.096,0.008,0.093,298.6,40.1,23.26
"2020-09-29 14:34:58",3267626,-0.096,0.009,0.093,298.6,40.04,23.2
"2020-09-29 14:34:58.1",3267627,-0.096,0.008,0.093,298.6,40.04,23.2
"2020-09-29 14:34:58.2",3267628,-0.096,0.008,0.093,298.6,40.04,23.2
"2020-09-29 14:34:58.3",3267629,-0.096,0.008,0.093,298.6,40.04,23.2
"2020-09-29 14:34:58.4",3267630,-0.028,-0.002,0.093,298.5,40.04,23.21
"2020-09-29 14:34:58.5",3267631,-0.028,-0.002,0.093,298.5,40.04,23.2
"2020-09-29 14:34:58.6",3267632,-0.13,-0.002,0.073,298.6,40.04,23.2
"2020-09-29 14:34:58.7",3267633,-0.13,-0.002,0.073,298.6,40.04,23.2
"2020-09-29 14:34:58.8",3267634,-0.13,-0.002,0.073,298.6,40.04,23.2
"2020-09-29 14:34:58.9",3267635,-0.096,-0.041,0.015,298.6,40.04,23.21
"2020-09-29 14:34:59",3267636,-0.096,-0.042,0.015,298.6,40.04,23.2
"2020-09-29 14:34:59.1",3267637,-0.096,-0.051,0.083,298.5,40.04,23.21
"2020-09-29 14:34:59.2",3267638,-0.096,-0.051,0.083,298.5,40.04,23.22
"2020-09-29 14:34:59.3",3267639,-0.096,-0.051,0.083,298.5,40.03,23.2
"2020-09-29 14:34:59.4",3267640,-0.018,-0.002,0.083,298.5,40.03,23.2
"2020-09-29 14:34:59.5",3267641,-0.018,-0.002,0.083,298.5,40.03,23.2
"2020-09-29 14:34:59.6",3267642,-0.047,-0.041,0.063,298.5,40.02,23.2
"2020-09-29 14:34:59.7",3267643,-0.047,-0.041,0.064,298.5,40.02,23.2
"2020-09-29 14:34:59.8",3267644,-0.047,-0.041,0.064,298.5,40.02,23.2
"2020-09-29 14:34:59.9",3267645,-0.067,-0.002,0.044,298.4,40.02,23.21
"2020-09-29 14:35:00",3267646,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:00.1",3267647,-0.077,-0.002,0.108,298.3,40.02,23.21
"2020-09-29 14:35:00.2",3267648,-0.077,-0.002,0.108,298.3,40.02,23.21
"2020-09-29 14:35:00.3",3267649,-0.077,-0.002,0.108,298.3,40.02,23.21
"2020-09-29 14:35:00.4",3267650,-0.077,-0.002,0.108,298.3,40.08,23.25
"2020-09-29 14:35:00.5",3267651,-0.077,-0.002,0.108,298.3,40.02,23.21
"2020-09-29 14:35:00.6",3267652,-0.086,0.009,0.083,298.4,40.02,23.21
"2020-09-29 14:35:00.7",3267653,-0.086,0.009,0.083,298.4,40.02,23.21
"2020-09-29 14:35:00.8",3267654,-0.087,0.008,0.083,298.4,40.02,23.21
"2020-09-29 14:35:00.9",3267655,-0.086,0.008,0.083,298.5,40.02,23.2
"2020-09-29 14:35:01",3267656,-0.086,0.008,0.083,298.5,40.02,23.21
"2020-09-29 14:35:01.1",3267657,-0.096,0.077,0.083,298.5,40.02,23.21
"2020-09-29 14:35:01.2",3267658,-0.096,0.077,0.083,298.5,40.02,23.21
"2020-09-29 14:35:01.3",3267659,-0.096,0.077,0.083,298.5,40.02,23.2
"2020-09-29 14:35:01.4",3267660,-0.067,-0.002,0.117,298.6,40.02,23.2
"2020-09-29 14:35:01.5",3267661,-0.067,-0.002,0.117,298.6,40.02,23.21
"2020-09-29 14:35:01.6",3267662,-0.086,0.009,0.083,298.5,40.02,23.21
"2020-09-29 14:35:01.7",3267663,-0.086,0.009,0.083,298.5,40.02,23.23
"2020-09-29 14:35:01.8",3267664,-0.087,0.008,0.083,298.5,40.02,23.2
"2020-09-29 14:35:01.9",3267665,-0.047,0.009,0.064,298.4,40.02,23.2
"2020-09-29 14:35:02",3267666,-0.047,0.009,0.064,298.4,40.02,23.2
"2020-09-29 14:35:02.1",3267667,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:02.2",3267668,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:02.3",3267669,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:02.4",3267670,-0.018,-0.002,0.083,298.4,40.02,23.21
"2020-09-29 14:35:02.5",3267671,-0.018,-0.002,0.083,298.4,40.02,23.2
"2020-09-29 14:35:02.6",3267672,-0.086,-0.002,0.015,298.5,40.02,23.2
"2020-09-29 14:35:02.7",3267673,-0.086,-0.002,0.015,298.5,40.02,23.2
"2020-09-29 14:35:02.8",3267674,-0.087,-0.002,0.015,298.5,40.02,23.2
"2020-09-29 14:35:02.9",3267675,-0.057,0.008,0.073,298.6,40.08,23.22
"2020-09-29 14:35:03",3267676,-0.057,0.009,0.073,298.6,40.02,23.2
"2020-09-29 14:35:03.1",3267677,-0.077,-0.002,0.044,298.6,40.02,23.2
"2020-09-29 14:35:03.2",3267678,-0.077,-0.002,0.044,298.6,40.02,23.2
"2020-09-29 14:35:03.3",3267679,-0.077,-0.002,0.044,298.6,40.02,23.2
"2020-09-29 14:35:03.4",3267680,-0.028,-0.07,0.015,298.5,40.02,23.21
"2020-09-29 14:35:03.5",3267681,-0.028,-0.071,0.015,298.5,40.02,23.2
"2020-09-29 14:35:03.6",3267682,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:03.7",3267683,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:03.8",3267684,-0.067,-0.002,0.044,298.4,40.02,23.21
"2020-09-29 14:35:03.9",3267685,-0.067,-0.002,0.044,298.4,40.02,23.2
"2020-09-29 14:35:04",3267686,-0.067,-0.002,0.044,298.4,40.02,23.21
"2020-09-29 14:35:04.1",3267687,-0.077,-0.071,0.025,298.3,40.02,23.21
"2020-09-29 14:35:04.2",3267688,-0.077,-0.071,0.024,298.3,40.02,23.24
"2020-09-29 14:35:04.3",3267689,-0.077,-0.071,0.025,298.3,40.02,23.2
"2020-09-29 14:35:04.4",3267690,-0.038,-0.071,0.005,298.3,40.02,23.2
"2020-09-29 14:35:04.5",3267691,-0.038,-0.071,0.005,298.3,40.02,23.2
"2020-09-29 14:35:04.6",3267692,-0.047,-0.041,-0.006,298.3,40.02,23.2
"2020-09-29 14:35:04.7",3267693,-0.047,-0.041,-0.006,298.3,40.02,23.21
"2020-09-29 14:35:04.8",3267694,-0.047,-0.041,-0.006,298.3,40.02,23.2
"2020-09-29 14:35:04.9",3267695,-0.018,-0.041,0.044,298.2,40.02,23.2
"2020-09-29 14:35:05",3267696,-0.018,-0.041,0.044,298.2,40.02,23.21
"2020-09-29 14:35:05.1",3267697,-0.008,-0.032,0.044,298.3,40.02,23.2
"2020-09-29 14:35:05.2",3267698,-0.008,-0.032,0.044,298.3,40.02,23.2
"2020-09-29 14:35:05.3",3267699,-0.008,-0.032,0.044,298.3,40.02,23.2
"2020-09-29 14:35:05.4",3267700,-0.077,-0.071,0.044,298.2,40.06,23.2
"2020-09-29 14:35:05.5",3267701,-0.077,-0.071,0.044,298.2,40.02,23.2
"2020-09-29 14:35:05.6",3267702,-0.038,-0.071,0.005,298.2,40.01,23.2
"2020-09-29 14:35:05.7",3267703,-0.038,-0.071,0.005,298.2,40.01,23.2
"2020-09-29 14:35:05.8",3267704,-0.038,-0.071,0.005,298.2,40,23.2
"2020-09-29 14:35:05.9",3267705,-0.096,0.008,0.093,298.5,40,23.2
"2020-09-29 14:35:06",3267706,-0.096,0.008,0.093,298.5,40,23.21
"2020-09-29 14:35:06.1",3267707,-0.096,0.008,0.166,299,40,23.21
"2020-09-29 14:35:06.2",3267708,-0.096,0.008,0.166,299,40,23.21
"2020-09-29 14:35:06.3",3267709,-0.096,0.008,0.166,299,40,23.21
"2020-09-29 14:35:06.4",3267710,-0.028,-0.002,0.166,299,40,23.21
"2020-09-29 14:35:06.5",3267711,-0.028,-0.002,0.166,299,40,23.21
"2020-09-29 14:35:06.6",3267712,-0.008,0.008,0.117,298.9,40,23.21
"2020-09-29 14:35:06.7",3267713,-0.008,0.008,0.117,298.9,40.03,23.25
"2020-09-29 14:35:06.8",3267714,-0.008,0.008,0.117,298.9,40,23.2
"2020-09-29 14:35:06.9",3267715,-0.028,-0.002,0.093,298.9,40,23.2
"2020-09-29 14:35:07",3267716,-0.028,-0.002,0.093,298.9,40,23.2
"2020-09-29 14:35:07.1",3267717,-0.008,-0.002,0.073,298.8,40,23.2
"2020-09-29 14:35:07.2",3267718,-0.008,-0.002,0.073,298.8,40,23.2
"2020-09-29 14:35:07.3",3267719,-0.008,-0.002,0.073,298.8,40,23.2
"2020-09-29 14:35:07.4",3267720,-0.018,-0.041,0.117,298.7,40,23.2
"2020-09-29 14:35:07.5",3267721,-0.018,-0.041,0.117,298.7,40,23.2
"2020-09-29 14:35:07.6",3267722,-0.008,-0.002,0.074,298.7,40,23.2
"2020-09-29 14:35:07.7",3267723,-0.008,-0.002,0.073,298.7,40,23.2
"2020-09-29 14:35:07.8",3267724,-0.008,-0.002,0.073,298.7,40,23.2
"2020-09-29 14:35:07.9",3267725,-0.028,-0.002,0.093,298.5,40.01,23.2
"2020-09-29 14:35:08",3267726,-0.028,-0.002,0.093,298.5,40,23.2
"2020-09-29 14:35:08.1",3267727,-0.096,-0.051,0.083,298.4,40,23.2
"2020-09-29 14:35:08.2",3267728,-0.096,-0.051,0.083,298.4,40,23.2
"2020-09-29 14:35:08.3",3267729,-0.096,-0.051,0.083,298.4,40,23.2
"2020-09-29 14:35:08.4",3267730,-0.047,-0.031,0.064,298.3,40,23.2
"2020-09-29 14:35:08.5",3267731,-0.047,-0.031,0.064,298.3,40,23.2
"2020-09-29 14:35:08.6",3267732,-0.047,0.008,0.064,298.2,40,23.2
"2020-09-29 14:35:08.7",3267733,-0.047,0.009,0.064,298.2,40,23.2
"2020-09-29 14:35:08.8",3267734,-0.047,0.008,0.063,298.2,40,23.21
"2020-09-29 14:35:08.9",3267735,-0.047,0.009,0.063,298.2,40,23.2
"2020-09-29 14:35:09",3267736,-0.047,0.008,0.063,298.2,40,23.2
"2020-09-29 14:35:09.1",3267737,-0.121,-0.002,0.064,298.2,40,23.2
"2020-09-29 14:35:09.2",3267738,-0.121,-0.002,0.064,298.2,40.03,23.26
"2020-09-29 14:35:09.3",3267739,-0.121,-0.002,0.063,298.2,39.99,23.2
"2020-09-29 14:35:09.4",3267740,-0.077,-0.002,0.044,298.1,39.99,23.2
"2020-09-29 14:35:09.5",3267741,-0.077,-0.002,0.044,298.1,39.99,23.2
"2020-09-29 14:35:09.6",3267742,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:09.7",3267743,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:09.8",3267744,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:09.9",3267745,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10",3267746,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.1",3267747,-0.077,-0.002,0.044,298.1,39.98,23.21
"2020-09-29 14:35:10.2",3267748,-0.077,-0.002,0.044,298.1,39.98,23.21
"2020-09-29 14:35:10.3",3267749,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.4",3267750,-0.077,-0.002,0.044,298.1,39.98,23.21
"2020-09-29 14:35:10.5",3267751,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.6",3267752,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.7",3267753,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.8",3267754,-0.077,-0.003,0.044,298.1,39.98,23.2
"2020-09-29 14:35:10.9",3267755,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11",3267756,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11.1",3267757,-0.077,-0.002,0.044,298.1,39.98,23.21
"2020-09-29 14:35:11.2",3267758,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11.3",3267759,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11.4",3267760,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11.5",3267761,-0.077,-0.002,0.044,298.1,39.98,23.2
"2020-09-29 14:35:11.6",3267762,-0.028,-0.002,0.093,298.2,39.98,23.2
"2020-09-29 14:35:11.7",3267763,-0.028,-0.002,0.093,298.2,40.03,23.26
"2020-09-29 14:35:11.8",3267764,-0.028,-0.002,0.093,298.2,39.98,23.2
"2020-09-29 14:35:11.9",3267765,-0.057,0.008,0.073,298.2,39.97,23.2
"2020-09-29 14:35:12",3267766,-0.057,0.009,0.074,298.2,39.97,23.2
"2020-09-29 14:35:12.1",3267767,-0.067,-0.002,0.044,298.3,39.96,23.2
"2020-09-29 14:35:12.2",3267768,-0.067,-0.002,0.044,298.3,39.96,23.2
"2020-09-29 14:35:12.3",3267769,-0.067,-0.002,0.044,298.3,39.96,23.2
"2020-09-29 14:35:12.4",3267770,-0.047,-0.041,0.064,298.2,39.96,23.2
"2020-09-29 14:35:12.5",3267771,-0.047,-0.041,0.064,298.2,39.96,23.2
"2020-09-29 14:35:12.6",3267772,-0.047,-0.051,0.073,298.1,39.96,23.2
"2020-09-29 14:35:12.7",3267773,-0.047,-0.051,0.073,298.1,39.96,23.2
"2020-09-29 14:35:12.8",3267774,-0.047,-0.051,0.073,298.1,39.96,23.2
"2020-09-29 14:35:12.9",3267775,-0.077,-0.002,0.044,298.2,39.96,23.21
"2020-09-29 14:35:13",3267776,-0.077,-0.002,0.044,298.2,39.96,23.22
"2020-09-29 14:35:13.1",3267777,-0.057,-0.041,0.064,298.2,39.96,23.21
"2020-09-29 14:35:13.2",3267778,-0.057,-0.041,0.064,298.2,39.96,23.21
"2020-09-29 14:35:13.3",3267779,-0.057,-0.041,0.064,298.2,39.96,23.22
"2020-09-29 14:35:13.4",3267780,-0.067,-0.002,0.044,298.3,39.96,23.22
"2020-09-29 14:35:13.5",3267781,-0.067,-0.002,0.044,298.3,39.96,23.22
"2020-09-29 14:35:13.6",3267782,-0.047,0.009,0.064,298.3,39.96,23.22
"2020-09-29 14:35:13.7",3267783,-0.047,0.008,0.064,298.3,39.96,23.22
"2020-09-29 14:35:13.8",3267784,-0.047,0.008,0.063,298.3,39.96,23.22
"2020-09-29 14:35:13.9",3267785,-0.047,0.008,0.064,298.2,39.96,23.22
"2020-09-29 14:35:14",3267786,-0.047,0.008,0.064,298.2,39.96,23.22
"2020-09-29 14:35:14.1",3267787,-0.067,0.057,0.117,298.3,39.96,23.23
"2020-09-29 14:35:14.2",3267788,-0.067,0.057,0.117,298.3,40.02,23.27
"2020-09-29 14:35:14.3",3267789,-0.067,0.057,0.117,298.3,39.96,23.22
"2020-09-29 14:35:14.4",3267790,-0.057,0.009,0.146,298.5,39.96,23.22
"2020-09-29 14:35:14.5",3267791,-0.057,0.008,0.147,298.5,39.96,23.22
"2020-09-29 14:35:14.6",3267792,-0.096,0.008,0.093,298.6,39.96,23.22
"2020-09-29 14:35:14.7",3267793,-0.096,0.008,0.093,298.6,39.96,23.22
"2020-09-29 14:35:14.8",3267794,-0.096,0.008,0.093,298.6,39.96,23.22
"2020-09-29 14:35:14.9",3267795,-0.077,-0.002,0.117,298.6,39.96,23.22
"2020-09-29 14:35:15",3267796,-0.077,-0.002,0.117,298.6,39.96,23.22
"2020-09-29 14:35:15.1",3267797,-0.028,-0.002,0.093,298.7,39.96,23.23
"2020-09-29 14:35:15.2",3267798,-0.028,-0.002,0.093,298.7,39.96,23.23
"2020-09-29 14:35:15.3",3267799,-0.028,-0.002,0.093,298.7,39.96,23.23
"2020-09-29 14:35:15.4",3267800,0.012,-0.041,0.093,298.8,39.96,23.23
"2020-09-29 14:35:15.5",3267801,0.012,-0.041,0.093,298.8,39.96,23.25
"2020-09-29 14:35:15.6",3267802,0.012,-0.042,0.093,298.8,39.95,23.22
"2020-09-29 14:35:15.7",3267803,0.012,-0.041,0.093,298.8,39.95,23.22
"2020-09-29 14:35:15.8",3267804,0.012,-0.041,0.093,298.8,39.94,23.22
"2020-09-29 14:35:15.9",3267805,-0.008,-0.002,0.073,298.7,39.94,23.22
"2020-09-29 14:35:16",3267806,-0.008,-0.002,0.073,298.7,39.94,23.23
"2020-09-29 14:35:16.1",3267807,0.08,-0.002,0.093,298.6,39.94,23.23
"2020-09-29 14:35:16.2",3267808,0.08,-0.002,0.093,298.6,39.94,23.22
"2020-09-29 14:35:16.3",3267809,0.08,-0.002,0.093,298.6,39.94,23.22
"2020-09-29 14:35:16.4",3267810,0.031,-0.002,0.117,298.6,39.94,23.22
"2020-09-29 14:35:16.5",3267811,0.032,-0.002,0.117,298.6,39.94,23.22
"2020-09-29 14:35:16.6",3267812,0.012,-0.032,0.083,298.5,39.94,23.22
"2020-09-29 14:35:16.7",3267813,0.012,-0.032,0.083,298.5,40,23.25
"2020-09-29 14:35:16.8",3267814,0.012,-0.032,0.083,298.5,39.94,23.22
"2020-09-29 14:35:16.9",3267815,-0.077,-0.002,0.108,298.5,39.94,23.23
"2020-09-29 14:35:17",3267816,-0.077,-0.002,0.108,298.5,39.94,23.23
"2020-09-29 14:35:17.1",3267817,-0.028,-0.002,0.083,298.4,39.94,23.23
"2020-09-29 14:35:17.2",3267818,-0.028,-0.002,0.083,298.4,39.94,23.23
"2020-09-29 14:35:17.3",3267819,-0.028,-0.002,0.083,298.4,39.94,23.22
"2020-09-29 14:35:17.4",3267820,-0.008,-0.032,0.108,298.4,39.94,23.22
"2020-09-29 14:35:17.5",3267821,-0.008,-0.032,0.108,298.4,39.94,23.22
"2020-09-29 14:35:17.6",3267822,0.041,-0.002,0.108,298.4,39.94,23.22
"2020-09-29 14:35:17.7",3267823,0.041,-0.002,0.108,298.4,39.94,23.22
"2020-09-29 14:35:17.8",3267824,0.041,-0.002,0.107,298.4,39.94,23.22
"2020-09-29 14:35:17.9",3267825,-0.008,-0.032,0.034,298.4,39.94,23.22
"2020-09-29 14:35:18",3267826,-0.008,-0.032,0.035,298.4,39.94,23.26
"2020-09-29 14:35:18.1",3267827,-0.028,-0.002,0.083,298.3,39.93,23.23
"2020-09-29 14:35:18.2",3267828,-0.028,-0.002,0.083,298.3,39.93,23.23
"2020-09-29 14:35:18.3",3267829,-0.028,-0.002,0.083,298.3,39.93,23.23
"2020-09-29 14:35:18.4",3267830,-0.067,-0.002,0.044,298.3,39.92,23.23
"2020-09-29 14:35:18.5",3267831,-0.067,-0.002,0.044,298.3,39.92,23.23
"2020-09-29 14:35:18.6",3267832,-0.018,-0.002,0.083,298.2,39.92,23.23
"2020-09-29 14:35:18.7",3267833,-0.018,-0.002,0.083,298.2,39.92,23.23
"2020-09-29 14:35:18.8",3267834,-0.018,-0.002,0.083,298.2,39.92,23.23
"2020-09-29 14:35:18.9",3267835,-0.028,-0.002,0.093,298.2,39.92,23.23
"2020-09-29 14:35:19",3267836,-0.028,-0.002,0.093,298.2,39.92,23.22
"2020-09-29 14:35:19.1",3267837,-0.047,-0.051,0.073,298.1,39.92,23.22
"2020-09-29 14:35:19.2",3267838,-0.047,-0.051,0.073,298.1,39.97,23.23
"2020-09-29 14:35:19.3",3267839,-0.047,-0.051,0.073,298.1,39.92,23.22
"2020-09-29 14:35:19.4",3267840,-0.131,-0.002,0.073,298.1,39.91,23.22
"2020-09-29 14:35:19.5",3267841,-0.13,-0.002,0.073,298.1,39.91,23.22
"2020-09-29 14:35:19.6",3267842,-0.13,-0.002,0.073,298.1,39.9,23.22
"2020-09-29 14:35:19.7",3267843,-0.13,-0.002,0.073,298.1,39.9,23.22
"2020-09-29 14:35:19.8",3267844,-0.13,-0.002,0.073,298.1,39.9,23.22
"2020-09-29 14:35:19.9",3267845,-0.121,-0.002,0.064,298.1,39.9,23.22
"2020-09-29 14:35:20",3267846,-0.121,-0.002,0.064,298.1,39.9,23.22
"2020-09-29 14:35:20.1",3267847,-0.047,-0.041,0.064,298.2,39.9,23.22
"2020-09-29 14:35:20.2",3267848,-0.047,-0.041,0.064,298.2,39.9,23.23
"2020-09-29 14:35:20.3",3267849,-0.047,-0.041,0.064,298.2,39.9,23.22
"2020-09-29 14:35:20.4",3267850,-0.096,-0.051,0.083,298.5,39.9,23.22
"2020-09-29 14:35:20.5",3267851,-0.096,-0.051,0.083,298.5,39.92,23.25
"2020-09-29 14:35:20.6",3267852,-0.047,-0.051,0.147,299,39.9,23.22
"2020-09-29 14:35:20.7",3267853,-0.047,-0.051,0.147,299,39.9,23.22
"2020-09-29 14:35:20.8",3267854,-0.047,-0.051,0.147,299,39.9,23.22
"2020-09-29 14:35:20.9",3267855,-0.077,-0.002,0.117,299,39.9,23.23
"2020-09-29 14:35:21",3267856,-0.077,-0.002,0.117,299,39.9,23.23
"2020-09-29 14:35:21.1",3267857,-0.077,-0.002,0.117,299,39.9,23.22
"2020-09-29 14:35:21.2",3267858,-0.077,-0.002,0.117,299,39.9,23.23
"2020-09-29 14:35:21.3",3267859,-0.077,-0.002,0.117,299,39.9,23.22
"2020-09-29 14:35:21.4",3267860,-0.028,-0.002,0.166,298.9,39.9,23.22
"2020-09-29 14:35:21.5",3267861,-0.028,-0.002,0.166,298.9,39.9,23.22
"2020-09-29 14:35:21.6",3267862,-0.057,0.009,0.147,298.8,39.9,23.22
"2020-09-29 14:35:21.7",3267863,-0.057,0.009,0.147,298.8,39.94,23.22
"2020-09-29 14:35:21.8",3267864,-0.057,0.008,0.146,298.8,39.9,23.22
"2020-09-29 14:35:21.9",3267865,-0.028,-0.002,0.166,298.7,39.9,23.22
"2020-09-29 14:35:22",3267866,-0.028,-0.002,0.166,298.7,39.9,23.22
"2020-09-29 14:35:22.1",3267867,0.012,-0.041,0.166,298.6,39.9,23.23
"2020-09-29 14:35:22.2",3267868,0.012,-0.041,0.166,298.6,39.9,23.23
"2020-09-29 14:35:22.3",3267869,0.012,-0.042,0.166,298.6,39.9,23.23
"2020-09-29 14:35:22.4",3267870,0.031,-0.002,0.117,298.6,39.9,23.23
"2020-09-29 14:35:22.5",3267871,0.031,-0.002,0.117,298.6,39.9,23.23
"2020-09-29 14:35:22.6",3267872,-0.028,-0.002,0.166,298.7,39.9,23.23
"2020-09-29 14:35:22.7",3267873,-0.028,-0.002,0.166,298.7,39.9,23.23
"2020-09-29 14:35:22.8",3267874,-0.028,-0.002,0.166,298.7,39.9,23.23
"2020-09-29 14:35:22.9",3267875,-0.057,-0.125,0.215,298.8,39.9,23.23
"2020-09-29 14:35:23",3267876,-0.057,-0.125,0.215,298.8,39.93,23.28
"2020-09-29 14:35:23.1",3267877,-0.047,-0.051,0.215,298.8,39.9,23.23
"2020-09-29 14:35:23.2",3267878,-0.047,-0.051,0.215,298.8,39.89,23.23
"2020-09-29 14:35:23.3",3267879,-0.047,-0.051,0.215,298.8,39.89,23.24
"2020-09-29 14:35:23.4",3267880,-0.057,-0.124,0.215,298.7,39.88,23.24
"2020-09-29 14:35:23.5",3267881,-0.057,-0.124,0.215,298.7,39.88,23.24
"2020-09-29 14:35:23.6",3267882,-0.018,-0.081,0.157,298.6,39.88,23.24
"2020-09-29 14:35:23.7",3267883,-0.018,-0.081,0.156,298.6,39.88,23.24
"2020-09-29 14:35:23.8",3267884,-0.018,-0.081,0.156,298.6,39.88,23.24
"2020-09-29 14:35:23.9",3267885,-0.018,-0.041,0.185,298.8,39.88,23.24
"2020-09-29 14:35:24",3267886,-0.018,-0.041,0.186,298.8,39.88,23.24
"2020-09-29 14:35:24.1",3267887,-0.018,-0.041,0.117,299,39.88,23.24
"2020-09-29 14:35:24.2",3267888,-0.018,-0.041,0.117,299,39.89,23.24
"2020-09-29 14:35:24.3",3267889,-0.018,-0.041,0.117,299,39.88,23.25
"2020-09-29 14:35:24.4",3267890,-0.028,-0.002,0.093,299,39.87,23.24
"2020-09-29 14:35:24.5",3267891,-0.028,-0.002,0.093,299,39.87,23.24
"2020-09-29 14:35:24.6",3267892,0.012,-0.041,0.093,298.9,39.87,23.24
"2020-09-29 14:35:24.7",3267893,0.012,-0.041,0.093,298.9,39.86,23.24
"2020-09-29 14:35:24.8",3267894,0.012,-0.041,0.093,298.9,39.86,23.24
"2020-09-29 14:35:24.9",3267895,-0.018,-0.041,0.117,299,39.86,23.24
"2020-09-29 14:35:25",3267896,-0.018,-0.041,0.118,299,39.86,23.25
"2020-09-29 14:35:25.1",3267897,-0.008,-0.002,0.147,298.9,39.86,23.25
"2020-09-29 14:35:25.2",3267898,-0.008,-0.002,0.147,298.9,39.86,23.25
"2020-09-29 14:35:25.3",3267899,-0.008,-0.002,0.146,298.9,39.86,23.24
"2020-09-29 14:35:25.4",3267900,-0.008,-0.002,0.147,298.9,39.86,23.24
