,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,342,2020.0,10.0,8.0,15.0,0.0,37.2,2.8,0.7,0.0,8246320.0,-0.13,-0.261,-0.016,296.6,33.87,22.53
p1,343,2020.0,10.0,8.0,15.0,0.0,37.3,2.8,0.7,0.0,8246321.0,-0.13,-0.26,-0.016,296.7,33.85,22.52
p1,344,2020.0,10.0,8.0,15.0,0.0,37.4,2.8,0.7,0.0,8246322.0,-0.13,-0.261,-0.016,296.6,33.84,22.53
p1,345,2020.0,10.0,8.0,15.0,0.0,37.5,2.8,0.7,0.0,8246323.0,-0.096,-0.212,0.006,296.6,33.85,22.53
p1,346,2020.0,10.0,8.0,15.0,0.0,37.6,2.8,0.7,0.0,8246324.0,-0.095,-0.212,0.005,296.6,33.86,22.53
p1,347,2020.0,10.0,8.0,15.0,0.0,37.7,2.8,0.7,0.0,8246325.0,-0.057,-0.14300000000000002,0.044000000000000004,296.6,33.92,22.54
p1,348,2020.0,10.0,8.0,15.0,0.0,37.8,2.8,0.7,0.0,8246326.0,-0.057,-0.14400000000000002,0.044000000000000004,296.6,33.84,22.53
p1,349,2020.0,10.0,8.0,15.0,0.0,37.9,2.8,0.7,0.0,8246327.0,-0.057,-0.14400000000000002,0.045,296.6,33.85,22.54
p1,350,2020.0,10.0,8.0,15.0,0.0,38.0,2.8,0.7,0.0,8246328.0,-0.096,-0.212,0.005,296.6,33.87,22.53
p1,351,2020.0,10.0,8.0,15.0,0.0,38.1,2.8,0.7,0.0,8246329.0,-0.095,-0.212,0.005,296.6,33.89,22.52
p1,352,2020.0,10.0,8.0,15.0,0.0,38.2,2.8,0.7,0.0,8246330.0,-0.067,-0.20199999999999999,-0.005,296.6,33.85,22.54
p1,353,2020.0,10.0,8.0,15.0,0.0,38.3,2.8,0.7,0.0,8246331.0,-0.066,-0.20199999999999999,-0.006,296.6,33.87,22.53
p1,354,2020.0,10.0,8.0,15.0,0.0,38.4,2.8,0.7,0.0,8246332.0,-0.067,-0.20199999999999999,-0.006,296.6,33.87,22.53
p1,355,2020.0,10.0,8.0,15.0,0.0,38.5,2.8,0.7,0.0,8246333.0,-0.086,-0.08,0.035,296.6,33.87,22.53
p1,356,2020.0,10.0,8.0,15.0,0.0,38.6,2.8,0.7,0.0,8246334.0,-0.086,-0.08,0.034,296.6,33.87,22.53
p1,357,2020.0,10.0,8.0,15.0,0.0,38.7,2.8,0.7,0.0,8246335.0,-0.027999999999999997,-0.002,0.025,296.7,33.87,22.53
p1,358,2020.0,10.0,8.0,15.0,0.0,38.8,2.8,0.7,0.0,8246336.0,-0.027999999999999997,-0.002,0.025,296.7,33.87,22.53
p1,359,2020.0,10.0,8.0,15.0,0.0,38.9,2.8,0.7,0.0,8246337.0,-0.027999999999999997,-0.002,0.025,296.7,33.87,22.53
p1,360,2020.0,10.0,8.0,15.0,0.0,39.0,2.8,0.7,0.0,8246338.0,-0.027999999999999997,0.048,0.025,296.7,33.87,22.55
p1,361,2020.0,10.0,8.0,15.0,0.0,39.1,2.8,0.7,0.0,8246339.0,-0.027999999999999997,0.048,0.025,296.7,33.88,22.53
p1,362,2020.0,10.0,8.0,15.0,0.0,39.2,2.8,0.7,0.0,8246340.0,-0.047,0.009000000000000001,-0.006,296.6,33.88,22.53
p1,363,2020.0,10.0,8.0,15.0,0.0,39.3,2.8,0.7,0.0,8246341.0,-0.047,0.009000000000000001,-0.006,296.6,33.89,22.53
p1,364,2020.0,10.0,8.0,15.0,0.0,39.4,2.8,0.7,0.0,8246342.0,-0.047,0.009000000000000001,-0.006,296.6,33.89,22.53
p1,365,2020.0,10.0,8.0,15.0,0.0,39.5,2.8,0.7,0.0,8246343.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,366,2020.0,10.0,8.0,15.0,0.0,39.6,2.8,0.7,0.0,8246344.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,367,2020.0,10.0,8.0,15.0,0.0,39.7,2.8,0.7,0.0,8246345.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,368,2020.0,10.0,8.0,15.0,0.0,39.8,2.8,0.7,0.0,8246346.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,369,2020.0,10.0,8.0,15.0,0.0,39.9,2.8,0.7,0.0,8246347.0,-0.047,0.009000000000000001,-0.006,296.6,33.89,22.53
p1,370,2020.0,10.0,8.0,15.0,0.0,40.0,2.8,0.7,0.0,8246348.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,371,2020.0,10.0,8.0,15.0,0.0,40.1,2.8,0.7,0.0,8246349.0,-0.047,0.008,-0.006,296.6,33.89,22.53
p1,372,2020.0,10.0,8.0,15.0,0.0,40.2,2.8,0.7,0.0,8246350.0,-0.027999999999999997,-0.002,0.025,296.6,33.95,22.53
