,,Year,Month,Day,Hour,Minute,Second,x,y,theta,Record,U (m s^-1),V (m s^-1),W (m s^-1),TSonic (K),RH (%),T_HMP60 (C)
p1,291,2020.0,9.0,29.0,11.0,42.0,55.9,2.8,0.7,0.0,3230531.0,-0.048,-0.193,-0.005,297.6,43.34,23.29
p1,292,2020.0,9.0,29.0,11.0,42.0,56.0,2.8,0.7,0.0,3230532.0,-0.047,-0.192,-0.006,297.7,43.33,23.27
p1,293,2020.0,9.0,29.0,11.0,42.0,56.1,2.8,0.7,0.0,3230533.0,-0.017,-0.231,0.005,297.7,43.32,23.29
p1,294,2020.0,9.0,29.0,11.0,42.0,56.2,2.8,0.7,0.0,3230534.0,-0.017,-0.23199999999999998,0.005,297.7,43.34,23.28
p1,295,2020.0,9.0,29.0,11.0,42.0,56.3,2.8,0.7,0.0,3230535.0,-0.017,-0.231,0.005,297.7,43.31,23.28
p1,296,2020.0,9.0,29.0,11.0,42.0,56.4,2.8,0.7,0.0,3230536.0,-0.019,-0.23199999999999998,0.005,297.7,43.33,23.29
p1,297,2020.0,9.0,29.0,11.0,42.0,56.5,2.8,0.7,0.0,3230537.0,-0.018000000000000002,-0.23199999999999998,0.005,297.7,43.33,23.27
p1,298,2020.0,9.0,29.0,11.0,42.0,56.6,2.8,0.7,0.0,3230538.0,-0.008,-0.20199999999999999,0.035,297.7,43.31,23.29
p1,299,2020.0,9.0,29.0,11.0,42.0,56.7,2.8,0.7,0.0,3230539.0,-0.008,-0.20199999999999999,0.034,297.7,43.33,23.29
p1,300,2020.0,9.0,29.0,11.0,42.0,56.8,2.8,0.7,0.0,3230540.0,-0.027999999999999997,-0.154,0.015,297.7,43.31,23.28
p1,301,2020.0,9.0,29.0,11.0,42.0,56.9,2.8,0.7,0.0,3230541.0,-0.027999999999999997,-0.154,0.015,297.7,43.36,23.35
p1,302,2020.0,9.0,29.0,11.0,42.0,57.0,2.8,0.7,0.0,3230542.0,-0.027000000000000003,-0.153,0.013999999999999999,297.7,43.32,23.28
p1,303,2020.0,9.0,29.0,11.0,42.0,57.1,2.8,0.7,0.0,3230543.0,-0.017,-0.23199999999999998,0.006,297.7,43.3,23.29
p1,304,2020.0,9.0,29.0,11.0,42.0,57.2,2.8,0.7,0.0,3230544.0,-0.018000000000000002,-0.23199999999999998,0.005,297.7,43.32,23.29
p1,305,2020.0,9.0,29.0,11.0,42.0,57.3,2.8,0.7,0.0,3230545.0,-0.017,-0.23199999999999998,0.005,297.7,43.3,23.27
p1,306,2020.0,9.0,29.0,11.0,42.0,57.4,2.8,0.7,0.0,3230546.0,-0.017,-0.23199999999999998,0.005,297.7,43.31,23.29
p1,307,2020.0,9.0,29.0,11.0,42.0,57.5,2.8,0.7,0.0,3230547.0,-0.018000000000000002,-0.231,0.005,297.7,43.31,23.27
