"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-10-05 03:56:51",5266887,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.1",5266888,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.2",5266889,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.3",5266890,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.4",5266891,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.5",5266892,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.6",5266893,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.7",5266894,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.8",5266895,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:51.9",5266896,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52",5266897,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.1",5266898,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.2",5266899,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.3",5266900,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.4",5266901,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.5",5266902,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.6",5266903,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.7",5266904,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.8",5266905,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:52.9",5266906,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53",5266907,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.1",5266908,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.2",5266909,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.3",5266910,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.4",5266911,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.5",5266912,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.6",5266913,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.7",5266914,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.8",5266915,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:53.9",5266916,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54",5266917,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.1",5266918,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.2",5266919,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.3",5266920,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.4",5266921,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.5",5266922,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.6",5266923,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.7",5266924,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.8",5266925,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:54.9",5266926,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55",5266927,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.1",5266928,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.2",5266929,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.3",5266930,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.4",5266931,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.5",5266932,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.6",5266933,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.7",5266934,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.8",5266935,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:55.9",5266936,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56",5266937,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.1",5266938,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.2",5266939,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.3",5266940,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.4",5266941,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.5",5266942,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.6",5266943,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.7",5266944,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.8",5266945,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:56.9",5266946,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57",5266947,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.1",5266948,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.2",5266949,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.3",5266950,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.4",5266951,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.5",5266952,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.6",5266953,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.7",5266954,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.8",5266955,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:57.9",5266956,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58",5266957,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.1",5266958,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.2",5266959,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.3",5266960,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.4",5266961,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.5",5266962,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.6",5266963,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.7",5266964,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.8",5266965,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:58.9",5266966,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59",5266967,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.1",5266968,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.2",5266969,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.3",5266970,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.4",5266971,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.5",5266972,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.6",5266973,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.7",5266974,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.8",5266975,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:56:59.9",5266976,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00",5266977,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.1",5266978,-10,-10,-10,220,-0.008,-40.02
"2020-10-05 03:57:00.2",5266979,-10,-10,-10,220,-0.008,-40.02
"2020-10-05 03:57:00.3",5266980,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.4",5266981,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.5",5266982,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.6",5266983,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.7",5266984,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.8",5266985,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:00.9",5266986,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01",5266987,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.1",5266988,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.2",5266989,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.3",5266990,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.4",5266991,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.5",5266992,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.6",5266993,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.7",5266994,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.8",5266995,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:01.9",5266996,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02",5266997,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.1",5266998,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.2",5266999,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.3",5267000,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.4",5267001,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.5",5267002,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.6",5267003,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.7",5267004,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.8",5267005,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:02.9",5267006,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03",5267007,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.1",5267008,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.2",5267009,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.3",5267010,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.4",5267011,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.5",5267012,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.6",5267013,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.7",5267014,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.8",5267015,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:03.9",5267016,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04",5267017,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.1",5267018,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.2",5267019,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.3",5267020,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.4",5267021,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.5",5267022,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.6",5267023,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.7",5267024,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.8",5267025,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:04.9",5267026,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05",5267027,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.1",5267028,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.2",5267029,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.3",5267030,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.4",5267031,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.5",5267032,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.6",5267033,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.7",5267034,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.8",5267035,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:05.9",5267036,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06",5267037,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.1",5267038,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.2",5267039,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.3",5267040,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.4",5267041,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.5",5267042,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.6",5267043,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.7",5267044,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.8",5267045,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:06.9",5267046,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07",5267047,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.1",5267048,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.2",5267049,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.3",5267050,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.4",5267051,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.5",5267052,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.6",5267053,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.7",5267054,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.8",5267055,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:07.9",5267056,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08",5267057,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.1",5267058,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.2",5267059,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.3",5267060,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.4",5267061,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.5",5267062,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.6",5267063,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.7",5267064,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.8",5267065,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:08.9",5267066,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09",5267067,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.1",5267068,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.2",5267069,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.3",5267070,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.4",5267071,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.5",5267072,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.6",5267073,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.7",5267074,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.8",5267075,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:09.9",5267076,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10",5267077,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.1",5267078,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.2",5267079,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.3",5267080,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.4",5267081,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.5",5267082,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.6",5267083,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.7",5267084,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.8",5267085,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:10.9",5267086,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11",5267087,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.1",5267088,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.2",5267089,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.3",5267090,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.4",5267091,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.5",5267092,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.6",5267093,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.7",5267094,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.8",5267095,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:11.9",5267096,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12",5267097,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.1",5267098,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.2",5267099,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.3",5267100,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.4",5267101,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.5",5267102,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.6",5267103,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.7",5267104,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.8",5267105,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:12.9",5267106,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13",5267107,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.1",5267108,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.2",5267109,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.3",5267110,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.4",5267111,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.5",5267112,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.6",5267113,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.7",5267114,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.8",5267115,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:13.9",5267116,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14",5267117,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.1",5267118,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.2",5267119,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.3",5267120,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.4",5267121,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.5",5267122,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.6",5267123,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.7",5267124,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.8",5267125,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:14.9",5267126,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15",5267127,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.1",5267128,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.2",5267129,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.3",5267130,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.4",5267131,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.5",5267132,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.6",5267133,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.7",5267134,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.8",5267135,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:15.9",5267136,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16",5267137,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.1",5267138,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.2",5267139,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.3",5267140,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.4",5267141,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.5",5267142,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.6",5267143,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.7",5267144,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.8",5267145,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:16.9",5267146,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17",5267147,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.1",5267148,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.2",5267149,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.3",5267150,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.4",5267151,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.5",5267152,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.6",5267153,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.7",5267154,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.8",5267155,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:17.9",5267156,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18",5267157,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.1",5267158,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.2",5267159,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.3",5267160,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.4",5267161,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.5",5267162,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.6",5267163,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.7",5267164,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.8",5267165,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:18.9",5267166,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19",5267167,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.1",5267168,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.2",5267169,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.3",5267170,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.4",5267171,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.5",5267172,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.6",5267173,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.7",5267174,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.8",5267175,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:19.9",5267176,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20",5267177,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.1",5267178,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.2",5267179,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.3",5267180,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.4",5267181,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.5",5267182,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.6",5267183,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.7",5267184,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.8",5267185,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:20.9",5267186,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21",5267187,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.1",5267188,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.2",5267189,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.3",5267190,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.4",5267191,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.5",5267192,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.6",5267193,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.7",5267194,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.8",5267195,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:21.9",5267196,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22",5267197,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.1",5267198,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.2",5267199,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.3",5267200,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.4",5267201,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.5",5267202,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.6",5267203,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.7",5267204,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.8",5267205,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:22.9",5267206,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23",5267207,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.1",5267208,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.2",5267209,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.3",5267210,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.4",5267211,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.5",5267212,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.6",5267213,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.7",5267214,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.8",5267215,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:23.9",5267216,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:24",5267217,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:24.1",5267218,-10,-10,-10,220,-0.001,-40.01
"2020-10-05 03:57:24.2",5267219,-10,-10,-10,220,-0.001,-40.01
