"TOA5","10329","CR6","10329","CR6.Std.09.01 CR6-WIFI.04.00.01","CPU:YOUNG81000_HMP60_10Hz.CR6","51185","Young10Hz_hmp"
"TIMESTAMP","RECORD","U","V","W","TSonic","RH","T_HMP60"
"TS","RN","mV","mV","mV","mV","%","Deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-19 10:30:57.5",0,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:57.6",1,-0.009,0.037,-0.006,296.8,22.09,22.94
"2020-09-19 10:30:57.7",2,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:57.8",3,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:57.9",4,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:58",5,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.1",6,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.2",7,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:58.3",8,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.4",9,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.5",10,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.6",11,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:58.7",12,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:58.8",13,-0.009,0.037,-0.007,296.8,22.15,22.97
"2020-09-19 10:30:58.9",14,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:59",15,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:30:59.1",16,-0.029,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.2",17,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.3",18,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.4",19,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.5",20,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.6",21,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.7",22,-0.028,0.047,0.024,296.7,22.09,22.92
"2020-09-19 10:30:59.8",23,-0.009,0.037,-0.006,296.8,22.09,22.92
"2020-09-19 10:30:59.9",24,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:31:00",25,-0.009,0.037,-0.007,296.8,22.09,22.92
"2020-09-19 10:31:00.1",26,-0.009,0.008,0.044,296.8,22.09,22.95
"2020-09-19 10:31:00.2",27,-0.009,0.008,0.044,296.8,22.1,22.92
"2020-09-19 10:31:00.3",28,-0.009,0.008,0.044,296.8,22.1,22.92
"2020-09-19 10:31:00.4",29,-0.009,0.008,0.043,296.8,22.11,22.92
"2020-09-19 10:31:00.5",30,-0.009,0.008,0.044,296.8,22.11,22.92
"2020-09-19 10:31:00.6",31,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:00.7",32,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:00.8",33,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:00.9",34,-0.009,0.037,-0.006,296.8,22.11,22.92
"2020-09-19 10:31:01",35,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:01.1",36,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:01.2",37,-0.009,0.037,-0.007,296.8,22.11,22.92
"2020-09-19 10:31:01.3",38,-0.009,0.037,-0.006,296.8,22.17,22.94
"2020-09-19 10:31:01.4",39,-0.009,0.037,-0.006,296.8,22.12,22.92
"2020-09-19 10:31:01.5",40,-0.009,0.037,-0.007,296.8,22.12,22.92
"2020-09-19 10:31:01.6",41,-0.009,0.008,-0.016,296.7,22.13,22.92
"2020-09-19 10:31:01.7",42,-0.009,0.008,-0.016,296.7,22.13,22.92
"2020-09-19 10:31:01.8",43,-0.009,0.008,-0.016,296.7,22.13,22.92
"2020-09-19 10:31:01.9",44,-0.009,0.008,-0.016,296.7,22.13,22.92
"2020-09-19 10:31:02",45,-0.009,0.008,-0.017,296.7,22.13,22.92
"2020-09-19 10:31:02.1",46,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:02.2",47,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:02.3",48,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:02.4",49,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:02.5",50,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:02.6",51,-0.009,0.037,-0.006,296.8,22.13,22.96
"2020-09-19 10:31:02.7",52,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:02.8",53,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:02.9",54,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:03",55,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:03.1",56,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:03.2",57,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:03.3",58,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:03.4",59,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:03.5",60,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:03.6",61,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:03.7",62,-0.009,0.037,-0.006,296.8,22.13,22.92
"2020-09-19 10:31:03.8",63,0.011,0.008,0.024,296.8,22.19,22.92
"2020-09-19 10:31:03.9",64,0.011,0.008,0.024,296.8,22.14,22.92
"2020-09-19 10:31:04",65,0.011,0.008,0.024,296.8,22.14,22.92
"2020-09-19 10:31:04.1",66,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.2",67,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.3",68,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.4",69,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.5",70,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.6",71,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.7",72,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.8",73,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:04.9",74,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05",75,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05.1",76,-0.009,0.038,-0.006,296.8,22.16,22.96
"2020-09-19 10:31:05.2",77,-0.009,0.037,-0.007,296.8,22.13,22.92
"2020-09-19 10:31:05.3",78,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05.4",79,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05.5",80,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05.6",81,0.011,0.008,0.024,296.8,22.14,22.92
"2020-09-19 10:31:05.7",82,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:05.8",83,-0.009,0.008,0.044,296.8,22.13,22.92
"2020-09-19 10:31:05.9",84,-0.009,0.008,0.044,296.8,22.13,22.92
"2020-09-19 10:31:06",85,-0.009,0.008,0.043,296.8,22.13,22.92
"2020-09-19 10:31:06.1",86,-0.009,0.008,0.044,296.8,22.13,22.92
"2020-09-19 10:31:06.2",87,-0.009,0.008,0.044,296.8,22.13,22.92
"2020-09-19 10:31:06.3",88,0.011,0.008,0.024,296.8,22.15,22.92
"2020-09-19 10:31:06.4",89,0.011,0.008,0.024,296.8,22.13,22.92
"2020-09-19 10:31:06.5",90,0.011,0.008,0.024,296.8,22.13,22.93
"2020-09-19 10:31:06.6",91,0.011,0.008,0.024,296.8,22.13,22.93
"2020-09-19 10:31:06.7",92,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:06.8",93,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:06.9",94,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07",95,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.1",96,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.2",97,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.3",98,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.4",99,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.5",100,0.011,0.008,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.6",101,0.011,0.008,0.024,296.8,22.17,23
"2020-09-19 10:31:07.7",102,0.011,0.008,0.024,296.8,22.14,22.94
"2020-09-19 10:31:07.8",103,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:07.9",104,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08",105,-0.029,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.1",106,-0.029,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.2",107,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.3",108,-0.029,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.4",109,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.5",110,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.6",111,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.7",112,-0.028,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.8",113,-0.029,0.047,0.024,296.8,22.13,22.94
"2020-09-19 10:31:08.9",114,-0.029,0.047,0.024,296.8,22.14,22.94
"2020-09-19 10:31:09",115,-0.029,0.047,0.024,296.8,22.14,22.94
"2020-09-19 10:31:09.1",116,-0.028,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.2",117,-0.029,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.3",118,-0.029,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.4",119,-0.028,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.5",120,-0.029,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.6",121,-0.028,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.7",122,-0.028,0.047,0.024,296.8,22.15,22.94
"2020-09-19 10:31:09.8",123,-0.029,-0.003,0.024,296.9,22.15,22.94
"2020-09-19 10:31:09.9",124,-0.028,-0.003,0.024,296.9,22.15,22.94
"2020-09-19 10:31:10",125,-0.029,-0.003,0.024,296.9,22.15,22.94
"2020-09-19 10:31:10.1",126,-0.028,-0.003,0.024,296.9,22.19,23
"2020-09-19 10:31:10.2",127,-0.029,-0.003,0.024,296.9,22.15,22.94
"2020-09-19 10:31:10.3",128,-0.019,-0.003,0.014,297,22.15,22.94
"2020-09-19 10:31:10.4",129,-0.019,-0.003,0.014,297,22.15,22.94
"2020-09-19 10:31:10.5",130,-0.019,-0.003,0.014,297,22.15,22.94
"2020-09-19 10:31:10.6",131,-0.009,0.018,0.034,297.1,22.15,22.94
"2020-09-19 10:31:10.7",132,-0.009,0.018,0.034,297.1,22.15,22.94
"2020-09-19 10:31:10.8",133,-0.009,0.018,0.034,297.1,22.15,22.94
"2020-09-19 10:31:10.9",134,-0.009,0.018,0.034,297.1,22.15,22.94
"2020-09-19 10:31:11",135,-0.009,0.018,0.034,297.1,22.15,22.94
"2020-09-19 10:31:11.1",136,-0.038,-0.003,0.014,297.1,22.15,22.94
"2020-09-19 10:31:11.2",137,-0.038,-0.003,0.014,297.1,22.15,22.94
"2020-09-19 10:31:11.3",138,-0.009,-0.032,0.044,297.1,22.15,22.94
"2020-09-19 10:31:11.4",139,-0.009,-0.032,0.044,297.1,22.15,22.94
"2020-09-19 10:31:11.5",140,-0.009,-0.032,0.044,297.1,22.15,22.94
"2020-09-19 10:31:11.6",141,-0.038,-0.002,0.083,297.1,22.15,22.94
"2020-09-19 10:31:11.7",142,-0.038,-0.003,0.083,297.1,22.15,22.94
"2020-09-19 10:31:11.8",143,-0.038,-0.003,0.083,297.1,22.15,22.94
"2020-09-19 10:31:11.9",144,-0.038,-0.003,0.083,297.1,22.15,22.94
"2020-09-19 10:31:12",145,-0.038,-0.003,0.083,297.1,22.15,22.94
"2020-09-19 10:31:12.1",146,-0.077,-0.003,0.044,296.9,22.15,22.94
"2020-09-19 10:31:12.2",147,-0.077,-0.003,0.043,296.9,22.15,22.94
"2020-09-19 10:31:12.3",148,-0.077,-0.003,0.044,296.9,22.15,22.94
"2020-09-19 10:31:12.4",149,-0.077,-0.003,0.044,296.9,22.15,22.94
"2020-09-19 10:31:12.5",150,-0.077,-0.003,0.043,296.9,22.15,22.94
"2020-09-19 10:31:12.6",151,-0.077,-0.003,0.044,296.9,22.21,23
"2020-09-19 10:31:12.7",152,-0.077,-0.002,0.044,296.9,22.16,22.94
"2020-09-19 10:31:12.8",153,-0.077,-0.003,0.044,296.9,22.16,22.94
"2020-09-19 10:31:12.9",154,-0.077,-0.003,0.044,296.9,22.17,22.94
"2020-09-19 10:31:13",155,-0.078,-0.003,0.043,296.9,22.17,22.94
"2020-09-19 10:31:13.1",156,-0.028,-0.003,0.024,296.9,22.17,22.94
"2020-09-19 10:31:13.2",157,-0.028,-0.003,0.024,296.9,22.17,22.94
"2020-09-19 10:31:13.3",158,-0.038,-0.003,0.014,297,22.17,22.94
"2020-09-19 10:31:13.4",159,-0.038,-0.003,0.014,297,22.17,22.94
"2020-09-19 10:31:13.5",160,-0.038,-0.003,0.014,297,22.17,22.94
"2020-09-19 10:31:13.6",161,-0.048,0.018,0.063,297.1,22.17,22.94
"2020-09-19 10:31:13.7",162,-0.048,0.018,0.063,297.1,22.17,22.94
"2020-09-19 10:31:13.8",163,-0.077,-0.003,0.034,297.1,22.17,22.94
"2020-09-19 10:31:13.9",164,-0.077,-0.003,0.034,297.1,22.17,22.97
"2020-09-19 10:31:14",165,-0.077,-0.003,0.034,297.1,22.17,22.94
"2020-09-19 10:31:14.1",166,-0.009,-0.032,0.044,297.1,22.17,22.94
"2020-09-19 10:31:14.2",167,-0.009,-0.032,0.044,297.1,22.17,22.94
"2020-09-19 10:31:14.3",168,-0.019,-0.042,0.044,297.1,22.17,22.94
"2020-09-19 10:31:14.4",169,-0.019,-0.042,0.044,297.1,22.17,22.94
"2020-09-19 10:31:14.5",170,-0.019,-0.042,0.043,297.1,22.17,22.94
"2020-09-19 10:31:14.6",171,-0.009,-0.003,0.063,297.2,22.17,22.94
"2020-09-19 10:31:14.7",172,-0.009,-0.003,0.063,297.2,22.17,22.94
"2020-09-19 10:31:14.8",173,-0.019,-0.003,0.083,297.3,22.17,22.94
"2020-09-19 10:31:14.9",174,-0.019,-0.003,0.083,297.3,22.17,22.94
"2020-09-19 10:31:15",175,-0.019,-0.003,0.083,297.3,22.17,22.94
"2020-09-19 10:31:15.1",176,-0.019,-0.003,0.083,297.2,22.23,22.98
"2020-09-19 10:31:15.2",177,-0.019,-0.003,0.083,297.2,22.17,22.94
"2020-09-19 10:31:15.3",178,-0.067,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:15.4",179,-0.068,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:15.5",180,-0.068,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:15.6",181,-0.048,-0.051,0.073,297.3,22.17,22.94
"2020-09-19 10:31:15.7",182,-0.048,-0.052,0.073,297.3,22.17,22.94
"2020-09-19 10:31:15.8",183,-0.029,-0.003,0.024,297.2,22.17,22.94
"2020-09-19 10:31:15.9",184,-0.029,-0.003,0.024,297.2,22.17,22.94
"2020-09-19 10:31:16",185,-0.028,-0.003,0.024,297.2,22.17,22.94
"2020-09-19 10:31:16.1",186,-0.068,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:16.2",187,-0.068,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:16.3",188,-0.067,-0.003,0.044,297.2,22.17,22.94
"2020-09-19 10:31:16.4",189,-0.068,-0.003,0.044,297.2,22.17,22.97
"2020-09-19 10:31:16.5",190,-0.068,-0.003,0.043,297.2,22.18,22.94
"2020-09-19 10:31:16.6",191,-0.029,-0.003,0.083,297.2,22.18,22.94
"2020-09-19 10:31:16.7",192,-0.028,-0.003,0.083,297.2,22.19,22.94
"2020-09-19 10:31:16.8",193,-0.009,0.008,0.044,297.2,22.19,22.94
"2020-09-19 10:31:16.9",194,-0.009,0.008,0.043,297.2,22.19,22.94
"2020-09-19 10:31:17",195,-0.009,0.008,0.044,297.2,22.19,22.94
"2020-09-19 10:31:17.1",196,-0.028,-0.003,0.092,297.4,22.19,22.94
"2020-09-19 10:31:17.2",197,-0.029,-0.003,0.092,297.4,22.19,22.94
"2020-09-19 10:31:17.3",198,-0.048,-0.052,0.073,297.4,22.19,22.94
"2020-09-19 10:31:17.4",199,-0.048,-0.052,0.073,297.4,22.19,22.94
"2020-09-19 10:31:17.5",200,-0.048,-0.052,0.073,297.4,22.19,22.94
"2020-09-19 10:31:17.6",201,-0.038,-0.022,0.083,297.5,22.25,22.95
"2020-09-19 10:31:17.7",202,-0.038,-0.022,0.083,297.5,22.19,22.94
"2020-09-19 10:31:17.8",203,-0.009,-0.003,0.117,297.4,22.19,22.94
"2020-09-19 10:31:17.9",204,-0.009,-0.003,0.117,297.4,22.19,22.94
"2020-09-19 10:31:18",205,-0.009,-0.003,0.117,297.4,22.19,22.94
"2020-09-19 10:31:18.1",206,-0.048,0.018,0.136,297.2,22.19,22.94
"2020-09-19 10:31:18.2",207,-0.048,0.018,0.136,297.2,22.19,22.94
"2020-09-19 10:31:18.3",208,-0.019,-0.003,0.083,297.2,22.19,22.94
"2020-09-19 10:31:18.4",209,-0.019,-0.003,0.083,297.2,22.19,22.94
"2020-09-19 10:31:18.5",210,-0.019,-0.003,0.083,297.2,22.19,22.94
"2020-09-19 10:31:18.6",211,-0.048,0.008,0.063,297.2,22.19,22.94
"2020-09-19 10:31:18.7",212,-0.048,0.008,0.063,297.2,22.19,22.94
"2020-09-19 10:31:18.8",213,-0.038,-0.003,0.083,297.1,22.19,22.94
"2020-09-19 10:31:18.9",214,-0.038,-0.003,0.083,297.1,22.22,22.97
"2020-09-19 10:31:19",215,-0.038,-0.003,0.083,297.1,22.19,22.94
"2020-09-19 10:31:19.1",216,-0.009,0.018,0.117,297.1,22.19,22.94
"2020-09-19 10:31:19.2",217,-0.009,0.018,0.117,297.1,22.19,22.94
"2020-09-19 10:31:19.3",218,-0.038,0.066,0.083,297,22.19,22.94
"2020-09-19 10:31:19.4",219,-0.038,0.066,0.083,297,22.19,22.94
"2020-09-19 10:31:19.5",220,-0.038,0.066,0.082,297,22.19,22.94
"2020-09-19 10:31:19.6",221,-0.038,0.066,0.083,297,22.19,22.94
"2020-09-19 10:31:19.7",222,-0.038,0.066,0.083,297,22.19,22.94
"2020-09-19 10:31:19.8",223,-0.019,0.057,0.063,297.1,22.19,22.94
"2020-09-19 10:31:19.9",224,-0.019,0.057,0.063,297.1,22.19,22.94
"2020-09-19 10:31:20",225,-0.019,0.056,0.063,297.1,22.19,22.94
"2020-09-19 10:31:20.1",226,-0.019,0.057,0.063,297.1,22.23,22.94
"2020-09-19 10:31:20.2",227,-0.019,0.057,0.063,297.1,22.19,22.94
"2020-09-19 10:31:20.3",228,-0.009,0.047,0.073,297,22.19,22.94
"2020-09-19 10:31:20.4",229,-0.009,0.047,0.073,297,22.19,22.94
"2020-09-19 10:31:20.5",230,-0.009,0.047,0.073,297,22.19,22.94
"2020-09-19 10:31:20.6",231,-0.009,0.008,0.044,297,22.19,22.94
"2020-09-19 10:31:20.7",232,-0.009,0.008,0.044,297,22.19,22.94
"2020-09-19 10:31:20.8",233,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:20.9",234,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21",235,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21.1",236,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21.2",237,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21.3",238,0.001,0.018,0.083,297.1,22.19,22.94
"2020-09-19 10:31:21.4",239,0.002,0.018,0.083,297.1,22.22,23
"2020-09-19 10:31:21.5",240,0.001,0.017,0.082,297.1,22.19,22.94
"2020-09-19 10:31:21.6",241,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21.7",242,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:21.8",243,-0.009,-0.003,0.063,297.2,22.19,22.94
"2020-09-19 10:31:21.9",244,-0.009,-0.003,0.063,297.2,22.19,22.94
"2020-09-19 10:31:22",245,-0.009,-0.003,0.063,297.2,22.19,22.94
"2020-09-19 10:31:22.1",246,-0.009,-0.003,0.063,297.2,22.19,22.94
"2020-09-19 10:31:22.2",247,-0.009,-0.003,0.063,297.2,22.19,22.94
"2020-09-19 10:31:22.3",248,-0.009,0.008,0.044,297.2,22.19,22.94
"2020-09-19 10:31:22.4",249,-0.009,0.008,0.044,297.2,22.19,22.94
"2020-09-19 10:31:22.5",250,-0.009,0.008,0.043,297.2,22.19,22.94
"2020-09-19 10:31:22.6",251,-0.009,0.008,0.044,297.2,22.21,22.94
"2020-09-19 10:31:22.7",252,-0.009,0.008,0.044,297.2,22.19,22.94
"2020-09-19 10:31:22.8",253,-0.009,-0.032,0.034,297.1,22.19,22.94
"2020-09-19 10:31:22.9",254,-0.009,-0.032,0.034,297.1,22.19,22.94
"2020-09-19 10:31:23",255,-0.009,-0.032,0.034,297.1,22.19,22.94
"2020-09-19 10:31:23.1",256,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:23.2",257,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:23.3",258,-0.009,0.018,0.044,297.1,22.19,22.94
"2020-09-19 10:31:23.4",259,-0.009,0.018,0.044,297.1,22.19,22.94
"2020-09-19 10:31:23.5",260,-0.009,0.018,0.044,297.1,22.19,22.94
"2020-09-19 10:31:23.6",261,-0.009,0.018,0.044,297.1,22.19,22.94
"2020-09-19 10:31:23.7",262,-0.009,0.018,0.044,297.1,22.19,22.94
"2020-09-19 10:31:23.8",263,-0.009,0.018,0.044,297.2,22.19,22.94
"2020-09-19 10:31:23.9",264,-0.009,0.018,0.044,297.2,22.23,23
"2020-09-19 10:31:24",265,-0.009,0.017,0.044,297.2,22.19,22.94
"2020-09-19 10:31:24.1",266,-0.009,0.018,0.043,297.2,22.19,22.94
"2020-09-19 10:31:24.2",267,-0.009,0.018,0.043,297.2,22.19,22.94
"2020-09-19 10:31:24.3",268,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:24.4",269,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:24.5",270,-0.009,-0.003,0.063,297.1,22.19,22.94
"2020-09-19 10:31:24.6",271,-0.019,0.057,0.063,297.1,22.19,22.94
"2020-09-19 10:31:24.7",272,-0.019,0.057,0.063,297.1,22.19,22.94
"2020-09-19 10:31:24.8",273,0.001,0.018,0.083,297.1,22.19,22.94
"2020-09-19 10:31:24.9",274,0.002,0.018,0.083,297.1,22.19,22.94
"2020-09-19 10:31:25",275,0.001,0.017,0.083,297.1,22.19,22.94
"2020-09-19 10:31:25.1",276,-0.009,0.008,0.044,297.1,22.19,22.94
"2020-09-19 10:31:25.2",277,-0.009,0.008,0.044,297.1,22.19,22.94
"2020-09-19 10:31:25.3",278,-0.009,0.018,0.044,297,22.2,22.94
"2020-09-19 10:31:25.4",279,-0.009,0.018,0.044,297,22.21,22.94
"2020-09-19 10:31:25.5",280,-0.009,0.018,0.043,297,22.21,22.94
"2020-09-19 10:31:25.6",281,-0.121,0.047,0.063,297,22.21,22.94
"2020-09-19 10:31:25.7",282,-0.121,0.047,0.063,297,22.21,22.94
"2020-09-19 10:31:25.8",283,-0.077,0.008,0.005,297.1,22.21,22.94
"2020-09-19 10:31:25.9",284,-0.077,0.008,0.005,297.1,22.21,22.94
"2020-09-19 10:31:26",285,-0.077,0.008,0.004,297.1,22.21,22.94
"2020-09-19 10:31:26.1",286,-0.077,0.057,0.043,297,22.21,22.94
"2020-09-19 10:31:26.2",287,-0.077,0.057,0.043,297,22.21,22.94
"2020-09-19 10:31:26.3",288,-0.077,0.057,0.043,297,22.21,22.94
"2020-09-19 10:31:26.4",289,-0.077,0.057,0.044,297,22.27,23
"2020-09-19 10:31:26.5",290,-0.077,0.057,0.044,297,22.21,22.94
"2020-09-19 10:31:26.6",291,-0.097,0.076,0.083,297,22.21,22.94
"2020-09-19 10:31:26.7",292,-0.097,0.076,0.082,297,22.21,22.94
"2020-09-19 10:31:26.8",293,-0.029,0.047,0.092,296.9,22.21,22.94
"2020-09-19 10:31:26.9",294,-0.029,0.047,0.092,296.9,22.21,22.94
"2020-09-19 10:31:27",295,-0.029,0.047,0.092,296.9,22.21,22.94
"2020-09-19 10:31:27.1",296,-0.028,0.047,0.024,296.9,22.21,22.94
"2020-09-19 10:31:27.2",297,-0.029,0.047,0.024,296.9,22.21,22.94
"2020-09-19 10:31:27.3",298,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:27.4",299,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:27.5",300,-0.077,0.057,0.043,296.8,22.21,22.94
"2020-09-19 10:31:27.6",301,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:27.7",302,-0.077,0.057,0.044,296.8,22.21,22.95
"2020-09-19 10:31:27.8",303,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:27.9",304,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:28",305,-0.077,0.057,0.044,296.8,22.21,22.94
"2020-09-19 10:31:28.1",306,-0.028,0.047,0.024,296.8,22.21,22.94
"2020-09-19 10:31:28.2",307,-0.029,0.047,0.024,296.8,22.21,22.94
"2020-09-19 10:31:28.3",308,-0.028,0.047,0.024,296.8,22.21,22.94
"2020-09-19 10:31:28.4",309,-0.028,0.047,0.024,296.8,22.21,22.94
"2020-09-19 10:31:28.5",310,-0.029,0.047,0.024,296.8,22.21,22.94
"2020-09-19 10:31:28.6",311,-0.077,0.057,0.044,296.9,22.21,22.94
"2020-09-19 10:31:28.7",312,-0.077,0.057,0.044,296.9,22.21,22.94
"2020-09-19 10:31:28.8",313,-0.087,0.008,0.014,296.9,22.21,22.94
"2020-09-19 10:31:28.9",314,-0.087,0.008,0.014,296.9,22.27,22.98
"2020-09-19 10:31:29",315,-0.087,0.008,0.014,296.9,22.21,22.94
"2020-09-19 10:31:29.1",316,-0.077,0.057,0.044,297,22.21,22.94
